"Тип строки";Наименование;"Наименование артикула";"Код артикула";Валюта;"ID артикула";Цена;"Доступен для заказа";"Видимость на витрине";"Зачеркнутая цена";"Закупочная цена";"В наличии";"Основной артикул";"Идентификатор 1С";"В наличии @Основной";"В наличии @Проверенный";"В наличии @Транзит (временный)";"ID товара";"Краткое описание";Описание;Наклейка;Статус;"Выбор вариантов товара";"Тип товаров";Теги;"Облагается налогом";Заголовок;"META Keywords";"META Description";"Ссылка на витрину";"Адрес видео на Rutube, YouTube или Vimeo";"Дополнительные параметры";"Товар: Идентификатор 1С";complex_plugin_toggle_prices;Бренд;"Размер экрана (дюймы)";Разрешение;"Тип матрицы";"Формат экрана";Яркость;"Статическая контрастность";"Покрытие экрана";"Время отклика";Модель;"Вес полный";Размеры;"Динамическая контрастность";"Частота смены кадров";"Крепление VESA";Динамики;"Поддержка HDR";"Тип монитора";"Изогнутый экран";EAN;"Бесплатная доставка";"Вес без упаковки";Цвет;"Габариты упаковки";"Длина упаковки";тег;"Ширина упаковки";"Высота упаковки";GTIN;FRC;sRGB;"Adobe RGB";"Цвета дисплея";"Шаг пикселя";"Битность матрицы";"Регулировка наклона";"Регулировка по высоте";"Энергопотребление выключенный (ватты)";"Регулировка поворота";"Уровень регулировки по высоте";"Энергопотребление режим ожидания (ватты)";NTSC;"Энергопотребление среднее (ватты)";"Портретный режим";Питание;"D-SUB / DVI";Гарантия;Серия;"Угол просмотра (CR10)";"Радиус изогнутости (мм)";"Размер экрана (см)";"Технология синхронизации";"USB HUB";"USB Входы";"Поддержка G-SYNC";"Аудио выход на мониторе";"Технология защиты глаз";"Технология Flicker‑Free";"HDMI (кол-во шт. и версия)";MHL;"Displayport (кол-во шт. и версия)";USB-C;"USB-порт для быстрой зарядки";"Кабель VGA в комплекте";"Кабель DVI в комплекте";"Кабель HDMI в комплекте";"Кабель Displayport в комплекте";"Аудио кабель в комплекте";"Кабель USB в комплекте";"Заголовок для MERCH GOOGLE";"Страна изготовления";"кол-во мест";г*в*ш;"вес по местам";"Размеры изделия (ДХШХВ)";"Снят с продажи на OZON";"!Число целое";!строка;!текст;длина;"Цвет изделия";"Толщина ЛДСП";"Ширина столешницы";"Ширина надставки";"Категория (маркет)";"тип озон";"баркод товара в wb";"партномер изделия (маркетплейсам)";"модель (маркетплейсам)";"разрешение монитора (маркетплейсам)"
product_variant;"Дисплей Momentum 4K HDR 558M1RY/00";"Дисплей Momentum 4K HDR 558M1RY/00 (38, 99)";558M1RY;RUB;14847;0;1;1;0;0;0;1;GFdX48aIhZo42bL5GHZYi3;0;0;0;1339;;;;1;1;"Мониторы PHILIPS";;НДС;;;;displey-momentum-4k-hdr-558m1ry-00;;;GFdX48aIhZo42bL5GHZYi3;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;139;;;;;;Монитор;;558M1RY/00;558M1RY/00;3840x2160
product_variant;"Дисплей Momentum 559M1RYV";"Дисплей Momentum 559M1RYV (38, 99)";559M1RYV;RUB;14848;0;1;1;0;0;0;1;ugkzNdWNjIWBYPfFwgwoz1;0;0;0;1340;;;;1;1;"Мониторы PHILIPS";;НДС;;;;displey-momentum-559m1ryv;;;ugkzNdWNjIWBYPfFwgwoz1;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;139;;;;;;Монитор;;"559M1RYV (00/01)";"559M1RYV (00/01)";3840x2160
product_variant;"Дисплей Philips Momentum 4K HDR с подсветкой Ambiglow Designed for Xbox 279M1RV";"Дисплей Philips Momentum 4K HDR с подсветкой Ambiglow Designed for Xbox 279M1RV (22.4, 47)";279M1RV;RUB;14832;0;1;1;0;0;0;1;ENs2z4VWggWmDWwqEZKWQ1;0;0;0;1324;;;;1;1;"Мониторы PHILIPS";;НДС;;;;displey-philips-momentum-4k-hdr-s-podsvetkoy-ambiglow-designed-for-xbox-279m1rv;;;ENs2z4VWggWmDWwqEZKWQ1;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;;;;;;Монитор;;279M1RV/00;279M1RV/00;3840x2160
product_variant;"Дисплей Philips Momentum 4K HDR с подсветкой Ambiglow Designed for Xbox 329M1RV";"Дисплей Philips Momentum 4K HDR с подсветкой Ambiglow Designed for Xbox 329M1RV (22.4, 52.6)";329M1RV;RUB;14842;0;1;1;0;0;0;1;xAOfsPUkgtX247NTXeU-R1;0;0;0;1334;;;;1;1;"Мониторы PHILIPS";;НДС;;;;displey-philips-momentum-4k-hdr-s-podsvetkoy-ambiglow-designed-for-xbox-329m1rv;;;xAOfsPUkgtX247NTXeU-R1;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;Монитор;;329M1RV/00;329M1RV/00;3840x2160
product_variant;"Игровой монитор E Line 24 242E1GAJ";"Игровой монитор E Line 24 242E1GAJ (15, 47)";242E1GAJ;RUB;14850;0;1;1;0;0;0;1;ofZFvZmTj0ywQUn81aT5J2;0;0;0;1342;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-e-line-24-242e1gaj;;;ofZFvZmTj0ywQUn81aT5J2;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;;;Монитор;;242E1GAJ/00;242E1GAJ/00;1920x1080
product_variant;"Игровой монитор E Line 242E1GAEZ";"Игровой монитор E Line 242E1GAEZ (20, 57)";242E1GAEZ;RUB;14849;0;1;1;0;0;0;1;h1VD0w8Oi5Tr0iuM42B611;0;0;0;1341;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-e-line-242e1gaez;;;h1VD0w8Oi5Tr0iuM42B611;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;;;Монитор;;242E1GAEZ/00;242E1GAEZ/00;1920x1080
product_variant;"Игровой монитор E Line 272E1GAEZ";"Игровой монитор E Line 272E1GAEZ (20, 63)";272E1GAEZ;RUB;14851;0;1;1;0;0;0;1;UPWittSDjWJXRwvhzhHgH0;0;0;0;1343;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-e-line-272e1gaez;;;UPWittSDjWJXRwvhzhHgH0;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;;;;;;Монитор;;272E1GAEZ/00;272E1GAEZ/00;1920x1080
product_variant;"Игровой монитор E Line 272E1GAJ";"Игровой монитор E Line 272E1GAJ (14, 52)";272E1GAJ;RUB;14852;0;1;1;0;0;0;1;gTl6ho4ch3xZKficzxT700;0;0;0;1344;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-e-line-272e1gaj;;;gTl6ho4ch3xZKficzxT700;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;;;;;;Монитор;;272E1GAJ/00;272E1GAJ/00;1920x1080
product_variant;"Игровой монитор Momentum 5000 4K UHD 32M1N5800A";"Игровой монитор Momentum 5000 4K UHD 32M1N5800A (19, 53)";32M1N5800A;RUB;14845;0;1;1;0;0;0;1;MUsk48E3hDJzuDkzIIoSc0;0;0;0;1337;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-momentum-5000-4k-uhd-32m1n5800a;;;MUsk48E3hDJzuDkzIIoSc0;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;Монитор;;"32M1N5800A (00/01)";"32M1N5800A (00/01)";3840x2160
product_variant;"Игровой монитор Momentum 5000 Quad HD 32M1C5500VL";"Игровой монитор Momentum 5000 Quad HD 32M1C5500VL (23, 53)";32M1C5500VL;RUB;14843;0;1;1;0;0;0;1;P7b6ieVmhC5tQ2GQ0zmuM0;0;0;0;1335;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-momentum-5000-quad-hd-32m1c5500vl;;;P7b6ieVmhC5tQ2GQ0zmuM0;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;Монитор;;32M1C5500VL/00;32M1C5500VL/00;2560x1440
product_variant;"Игровой монитор Momentum 5000 Quad HD 32M1N5500VS";"Игровой монитор Momentum 5000 Quad HD 32M1N5500VS (16, 53)";32M1N5500VS;RUB;14844;0;1;1;0;0;0;1;57KQbHRXjtgOgSYgZUPHe2;0;0;0;1336;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-momentum-5000-quad-hd-32m1n5500vs;;;57KQbHRXjtgOgSYgZUPHe2;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;Монитор;;"32M1N5500VS (00/01)";"32M1N5500VS (00/01)";2560x1440
product_variant;"Игровой монитор Momentum 5000 WQHD 34M1C5500VA";"Игровой монитор Momentum 5000 WQHD 34M1C5500VA (23, 53)";34M1C5500VA;RUB;14846;0;1;1;0;0;0;1;VEwMrvHLgkfC856rrEXVV0;0;0;0;1338;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-momentum-5000-wqhd-34m1c5500va;;;VEwMrvHLgkfC856rrEXVV0;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;;;;;;Монитор;;"34M1C5500VA (00/01)";"34M1C5500VA (00/01)";3440x1440
product_variant;"Игровой монитор Philips Momentum 3000 Full HD 24M1N3200VA/00";"Игровой монитор Philips Momentum 3000 Full HD 24M1N3200VA/00 (60, 52.6)";24M1N3200VA/00;RUB;14824;0;1;1;0;0;0;1;nBMPBAVvh9Hnu1quaxFpi0;0;0;0;1320;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-philips-momentum-3000-full-hd-24m1n3200va-00;;;nBMPBAVvh9Hnu1quaxFpi0;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.4;;;;;;Монитор;;24M1N3200VA/00;24M1N3200VA/00;1920x1080
product_variant;"Игровой монитор Philips Momentum 3000 Full HD 24M1N3200VS";"Игровой монитор Philips Momentum 3000 Full HD 24M1N3200VS (19.3, 52.6)";24M1N3200VS;RUB;14829;0;1;1;0;0;0;1;Eiv2OTfFhS106YoTxafqW0;0;0;0;1321;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-philips-momentum-3000-full-hd-24m1n3200vs;;;Eiv2OTfFhS106YoTxafqW0;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;Монитор;;"24M1N3200VS (00/01)";"24M1N3200VS (00/01)";1920x1080
product_variant;"Игровой монитор Philips Momentum 3000 Full HD 24M1N3200ZA";"Игровой монитор Philips Momentum 3000 Full HD 24M1N3200ZA (16.4, 52.6)";24M1N3200ZA;RUB;14830;0;1;1;0;0;0;1;NasQym-LiKhXX7gtws2Q62;0;0;0;1322;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-philips-momentum-3000-full-hd-24m1n3200za;;;NasQym-LiKhXX7gtws2Q62;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;Монитор;;"24M1N3200ZA (00/01)";"24M1N3200ZA (00/01)";1920x1080
product_variant;"Игровой монитор Philips Momentum 3000 Full HD 27M1C3200VL";"Игровой монитор Philips Momentum 3000 Full HD 27M1C3200VL (22.6, 46.9)";27M1C3200VL;RUB;14833;0;1;1;0;0;0;1;GyyJZaB2g0O5F6UIwQLqR1;0;0;0;1325;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-philips-momentum-3000-full-hd-27m1c3200vl;;;GyyJZaB2g0O5F6UIwQLqR1;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;;;;;;Монитор;;"27M1C3200VL (00/01)";"27M1C3200VL (00/01)";1920x1080
product_variant;"Игровой монитор Philips Momentum 3000 Full HD 27M1N3200VA";"Игровой монитор Philips Momentum 3000 Full HD 27M1N3200VA (22.4, 52.1)";27M1N3200VA;RUB;14837;0;1;1;0;0;0;1;U2m0ap40hX6Xe1zYcB0o62;0;0;0;1329;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-philips-momentum-3000-full-hd-27m1n3200va;;;U2m0ap40hX6Xe1zYcB0o62;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;Монитор;;"27M1N3200VA (00/01)";"27M1N3200VA (00/01)";1920x1080
product_variant;"Игровой монитор Philips Momentum 3000 Full HD 27M1N3200VS";"Игровой монитор Philips Momentum 3000 Full HD 27M1N3200VS (18.6, 52.5)";27M1N3200VS;RUB;14838;0;1;1;0;0;0;1;PpTK7wNNg2kVhn0cshOLy2;0;0;0;1330;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-philips-momentum-3000-full-hd-27m1n3200vs;;;PpTK7wNNg2kVhn0cshOLy2;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;Монитор;;"27M1N3200VS (00/01)";"27M1N3200VS (00/01)";1920x1080
product_variant;"Игровой монитор Philips Momentum 3000 Full HD 27M1N3200ZA";"Игровой монитор Philips Momentum 3000 Full HD 27M1N3200ZA (22.4, 52.1)";27M1N3200ZA;RUB;14839;0;1;1;0;0;0;1;bioOqlwtg5PPP1XC59ZbN0;0;0;0;1331;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-philips-momentum-3000-full-hd-27m1n3200za;;;bioOqlwtg5PPP1XC59ZbN0;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;Монитор;;"27M1N3200ZA (00/01)";"27M1N3200ZA (00/01)";1920x1080
product_variant;"Игровой монитор Philips Momentum 5000 4K UHD 27M1F5800";"Игровой монитор Philips Momentum 5000 4K UHD 27M1F5800 (22.4, 52.1)";27M1F5800;RUB;14836;0;1;1;0;0;0;1;gxy7SVgajVAdfaSJc4O071;0;0;0;1328;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-philips-momentum-5000-4k-uhd-27m1f5800;;;gxy7SVgajVAdfaSJc4O071;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;Монитор;;27M1F5800/00;27M1F5800/00;3840x2160
product_variant;"Игровой монитор Philips Momentum 5000 Full HD 27M1N5200PA";"Игровой монитор Philips Momentum 5000 Full HD 27M1N5200PA (22.4, 52.1)";27M1N5200PA;RUB;14840;0;1;1;0;0;0;1;z-8NVmnlhZIJk9Oz1F1Av2;0;0;0;1332;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-philips-momentum-5000-full-hd-27m1n5200pa;;;z-8NVmnlhZIJk9Oz1F1Av2;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;Монитор;;"27M1N5200PA (00/01)";"27M1N5200PA (00/01)";1920x1080
product_variant;"Игровой монитор Philips Momentum 5000 Quad HD 27M1C5500VL";"Игровой монитор Philips Momentum 5000 Quad HD 27M1C5500VL (22.6, 46.9)";27M1C5500VL;RUB;14834;0;1;1;0;0;0;1;nTuTL7qLjvqo0kKEIFljm2;0;0;0;1326;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-philips-momentum-5000-quad-hd-27m1c5500vl;;;nTuTL7qLjvqo0kKEIFljm2;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;;;;;;Монитор;;27M1C5500VL/00;27M1C5500VL/00;2560x1440
product_variant;"Игровой монитор Philips Momentum 5000 Quad HD 27M1F5500P";"Игровой монитор Philips Momentum 5000 Quad HD 27M1F5500P (22.4, 52.1)";27M1F5500P;RUB;14835;0;1;1;0;0;0;1;G2sykM1igQ-3xmQKnnn9H2;0;0;0;1327;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-philips-momentum-5000-quad-hd-27m1f5500p;;;G2sykM1igQ-3xmQKnnn9H2;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;Монитор;;"27M1F5500P (00/01";"27M1F5500P (00/01";2560x1440
product_variant;"Игровой монитор Philips Momentum 5000 Quad HD 27M1N5500ZA";"Игровой монитор Philips Momentum 5000 Quad HD 27M1N5500ZA (22.4, 52.1)";27M1N5500ZA;RUB;14841;0;1;1;0;0;0;1;QzcM8vS6hh4KJHrrQkdBC0;0;0;0;1333;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-philips-momentum-5000-quad-hd-27m1n5500za;;;QzcM8vS6hh4KJHrrQkdBC0;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;Монитор;;"27M1N5500ZA (00/01)";"27M1N5500ZA (00/01)";2560x1440
product_variant;"Игровой монитор Philips Momentum с подсветкой Ambiglow 278M1R";"Игровой монитор Philips Momentum с подсветкой Ambiglow 278M1R (22.4, 47.5)";278M1R;RUB;14831;0;1;1;0;0;0;1;sZDevofShS9NjGgDbwDAs2;0;0;0;1323;;;;1;1;"Мониторы PHILIPS";;НДС;;;;igrovoy-monitor-philips-momentum-s-podsvetkoy-ambiglow-278m1r;;;sZDevofShS9NjGgDbwDAs2;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;;;;;;Монитор;;"278M1R (00/01)";"278M1R (00/01)";3840x2160
product_variant;"Изогнутый Монитор 34E1C5600HE";"Изогнутый Монитор 34E1C5600HE (23, 52)";34E1C5600HE;RUB;14857;0;1;1;0;0;0;1;MaNJCEf2g5bx76VDO0HH31;0;0;0;1349;;;;1;1;"Мониторы PHILIPS";;НДС;;;;izognutyy-monitor-34e1c5600he;;;MaNJCEf2g5bx76VDO0HH31;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;;;;;;Монитор;;34E1C5600HE/00;34E1C5600HE/00;3440x1440
product_variant;"Изогнутый Монитор UltraWide 34B1U5600CH";"Изогнутый Монитор UltraWide 34B1U5600CH (29, 53)";34B1U5600CH;RUB;14856;0;1;1;0;0;0;1;POqiRxkSg7NuZgmAssS5J1;0;0;0;1348;;;;1;1;"Мониторы PHILIPS";;НДС;;;;izognutyy-monitor-ultrawide-34b1u5600ch;;;POqiRxkSg7NuZgmAssS5J1;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;;;Монитор;;34B1U5600CH/00;34B1U5600CH/00;3440x1440
product_variant;"Изогнутый монитор UltraWide B Line 345B1C";"Изогнутый монитор UltraWide B Line 345B1C (29, 53)";345B1C;RUB;14853;0;1;1;0;0;0;1;cNSSiHNkjxH2qJvKDLRyY1;0;0;0;1345;;;;1;1;"Мониторы PHILIPS";;НДС;;;;izognutyy-monitor-ultrawide-b-line-345b1c;;;cNSSiHNkjxH2qJvKDLRyY1;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;Монитор;;345B1C/00;345B1C/00;3440x1440
product_variant;"Изогнутый монитор UltraWide B Line 346B1C";"Изогнутый монитор UltraWide B Line 346B1C (29, 53)";346B1C;RUB;14854;0;1;1;0;0;0;1;MOtnccmaidTbpyCCUVtCK3;0;0;0;1346;;;;1;1;"Мониторы PHILIPS";;НДС;;;;izognutyy-monitor-ultrawide-b-line-346b1c;;;MOtnccmaidTbpyCCUVtCK3;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;Монитор;;346B1C/00;346B1C/00;3440x1440
product_variant;"Изогнутый монитор UltraWide P Line 346P1CRH";"Изогнутый монитор UltraWide P Line 346P1CRH (29, 53)";346P1CRH;RUB;14855;0;1;1;0;0;0;1;LAUx1mHViBX4-oNMREhGJ3;0;0;0;1347;;;;1;1;"Мониторы PHILIPS";;НДС;;;;izognutyy-monitor-ultrawide-p-line-346p1crh;;;LAUx1mHViBX4-oNMREhGJ3;0;Philips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;;;Монитор;;346P1CRH/00;346P1CRH/00;3440x1440
